Date,Multiple Reports,Lease Type,District,RRC Identifier,Field Name,Lease Name,Gas Well ID,Lease Total,Commingle Permit No.,On Hand Beginning of Month,Production,rrc_oil_volume,Code,On Hand End of Month,Formation Production,rrc_gas_volume,Code.1,Normalized_Field_Name,Normalized_Reservoir_Name,Net Oil Volume to Trust (RRC),Net Oil Sales Volume to Trust (RRC),Net Gas Volume to Trust (RRC),Net Gas Sales Volume to Trust (RRC)
2021-10-01,,Oil,8.0,32907.0,ARMER (TUBB),"MCCAMEY, G. B. ""A"" (NCT-B)",,,7024.0,140,26,0,,166,0,0,,ARMER,TUBB,0.0,0.0,0.0,0.0
2021-10-01,,Oil,8.0,20550.0,ARMER (6350),"MCCAMEY, G. B., -A- /NCT-A/",,,7024.0,18,0,0,,18,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
2021-10-01,,Oil,8.0,45314.0,ARMER (6350),RAYDEN MCCAMEY,,,,261,87,183,1.0,165,"1,699",1699,2.0,ARMER,6350,91.5,68.625,849.5,637.125
2021-10-01,Y,Oil,8.0,48393.0,ARMER (6350),LANDLUBBER,,,8026.0,"1,721","7,857",8126,0.0,"1,452","19,723",19723,2.0,ARMER,6350,4063.0,3047.25,9861.5,7396.125
2021-10-01,,Oil,8.0,49425.0,ARMER (6350),6 POUNDER NE,,,8026.0,507,870,1184,0.0,193,"3,832",3832,2.0,ARMER,6350,592.0,444.0,1916.0,1437.0
2021-10-01,,Oil,8.0,50748.0,ARMER (6350),LANDLUBBER N,,,8156.0,137,"1,238",1212,0.0,163,"8,330",8330,2.0,ARMER,6350,606.0,454.5,4165.0,3123.75
2021-10-01,,Oil,8.0,51146.0,ARMER (6350),GALLEON,,,,78,0,0,,78,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
2021-10-01,,Oil,8.0,51157.0,ARMER (6350),JEAN LAFITTE NE,,,8155.0,56,0,0,,56,0,0,,ARMER,6350,0.0,0.0,0.0,0.0
2021-10-01,Y,Oil,8.0,51222.0,ARMER (6350),YELLOW JACK NWSW,,,8539.0,39,351,362,0.0,28,"1,803",1803,2.0,ARMER,6350,181.0,135.75,901.5,676.125
2021-10-01,,Oil,8.0,51255.0,ARMER (6350),LANDLUBBER NE,,,8156.0,23,96,106,0.0,13,"1,335",1335,2.0,ARMER,6350,53.0,39.75,667.5,500.625
2021-10-01,Y,Oil,8.0,51267.0,ARMER (6350),YELLOW JACK SENW,,,8539.0,78,743,763,0.0,58,"1,990",1990,2.0,ARMER,6350,381.5,286.125,995.0,746.25
2021-10-01,Y,Oil,8.0,51373.0,ARMER (6350),6 POUNDER NWNE,,,8250.0,13,403,386,0.0,30,"4,195",4195,2.0,ARMER,6350,193.0,144.75,2097.5,1573.125
2021-10-01,Y,Oil,8.0,51440.0,ARMER (6350),YELLOW JACK E2SW,,,8539.0,93,"1,799",1751,0.0,141,"4,137",4137,2.0,ARMER,6350,875.5,656.625,2068.5,1551.375
2021-10-01,Y,Oil,8.0,51505.0,ARMER (6350),6 POUNDER SE,,,8250.0,236,"2,628",2673,0.0,191,"16,281",16281,2.0,ARMER,6350,1336.5,1002.375,8140.5,6105.375
2021-10-01,,Oil,8.0,51511.0,ARMER (6350),6 POUNDER NW,,,8250.0,24,406,406,0.0,24,"1,741",1741,2.0,ARMER,6350,203.0,152.25,870.5,652.875
